Hour,Affiliation,Subaffiliation,Count
00,STAFF,,1
00,STUDENT,LAW SCHOOL,2
00,STUDENT,,8
01,ALUMNI,CCAS,1
01,STUDENT,,10
02,STUDENT,LAW SCHOOL,1
02,STUDENT,,6
03,STUDENT,LAW SCHOOL,2
03,STUDENT,,6
04,CONTRACTOR,FACILITIES,1
04,STAFF,,1
04,STUDENT,,1
06,STUDENT,,5
07,ALUMNI,GWSB,1
07,ALUMNI,,1
07,STAFF,,1
07,STUDENT,LAW SCHOOL,3
07,STUDENT,,10
08,ALUMNI,GWSB,1
08,ALUMNI,LAW SCHOOL,1
08,ALUMNI,,1
08,FACULTY,,1
08,STUDENT,LAW SCHOOL,2
08,STUDENT,MED CENTER,2
08,STUDENT,,30
08,VISITOR,FRIENDS,1
09,ALUMNI,LAW SCHOOL,2
09,ALUMNI,,1
09,FACULTY,,2
09,STAFF,,3
09,STUDENT,LAW SCHOOL,6
09,STUDENT,MED CENTER,1
09,STUDENT,,64
09,VISITOR,CAMPUS TENANT,1
10,ALUMNI,CCAS,1
10,ALUMNI,ESIA,1
10,FACULTY,,1
10,STAFF,,2
10,STUDENT,LAW SCHOOL,13
10,STUDENT,OFF CAMPUS,1
10,STUDENT,,103
10,VISITOR,FRIENDS,1
10,VISITOR,MED CENTER,1
10,VISITOR,,1
11,ALUMNI,CCAS,1
11,ALUMNI,LAW SCHOOL,2
11,ALUMNI,SEAS,2
11,STAFF,,5
11,STUDENT,LAW SCHOOL,9
11,STUDENT,MED CENTER,2
11,STUDENT,,123
11,VISITOR,FRIENDS,1
12,ALUMNI,CCAS,1
12,ALUMNI,GWSB,4
12,ALUMNI,LAW SCHOOL,1
12,FACULTY,,1
12,STAFF,LAW SCHOOL,1
12,STUDENT,LAW SCHOOL,12
12,STUDENT,MED CENTER,2
12,STUDENT,,180
13,ALUMNI,CCAS,1
13,ALUMNI,GWSB,1
13,FACULTY,,1
13,STAFF,,5
13,STUDENT,LAW SCHOOL,12
13,STUDENT,MED CENTER,1
13,STUDENT,OFF CAMPUS,1
13,STUDENT,,183
13,VISITOR,CCAS,1
13,VISITOR,MED CENTER,1
14,ALUMNI,CCAS,1
14,ALUMNI,CPS,1
14,ALUMNI,GWSB,4
14,ALUMNI,LAW SCHOOL,2
14,ALUMNI,SPHHS,1
14,ALUMNI,,1
14,CONTRACTOR,FACILITIES,2
14,CONTRACTOR,,1
14,STAFF,,2
14,STUDENT,LAW SCHOOL,9
14,STUDENT,MED CENTER,6
14,STUDENT,,228
14,VISITOR,MED CENTER,1
14,VISITOR,SCHOLAR,1
14,VISITOR,SHENANDOAH,1
15,ALUMNI,ESIA,1
15,ALUMNI,GWSB,5
15,ALUMNI,LAW SCHOOL,2
15,ALUMNI,SEAS,1
15,FACULTY,,2
15,STAFF,,3
15,STUDENT,LAW SCHOOL,7
15,STUDENT,MED CENTER,3
15,STUDENT,,211
15,VISITOR,FRIENDS,2
16,ALUMNI,CCAS,1
16,ALUMNI,ESIA,2
16,ALUMNI,GWSB,2
16,ALUMNI,LAW SCHOOL,1
16,ALUMNI,SPHHS,1
16,FACULTY,,2
16,STAFF,MED CENTER,1
16,STAFF,,4
16,STUDENT,LAW SCHOOL,9
16,STUDENT,,175
16,VISITOR,FRIENDS,2
17,ALUMNI,CPS,1
17,ALUMNI,GWSB,1
17,ALUMNI,SEAS,1
17,CONTRACTOR,FACILITIES,1
17,FACULTY,,1
17,STAFF,LAW SCHOOL,1
17,STAFF,,5
17,STUDENT,LAW SCHOOL,5
17,STUDENT,MED CENTER,1
17,STUDENT,,143
17,VISITOR,FRIENDS,2
17,VISITOR,MED CENTER,1
18,ALUMNI,ESIA,1
18,ALUMNI,GWSB,3
18,ALUMNI,MED CENTER,1
18,FACULTY,MED CENTER,1
18,STUDENT,LAW SCHOOL,8
18,STUDENT,MED CENTER,3
18,STUDENT,,120
19,ALUMNI,ESIA,1
19,ALUMNI,GWSB,2
19,STAFF,,1
19,STUDENT,LAW SCHOOL,7
19,STUDENT,,102
19,VISITOR,MED CENTER,1
20,ALUMNI,CCAS,1
20,ALUMNI,GWSB,1
20,STAFF,,1
20,STUDENT,LAW SCHOOL,4
20,STUDENT,MED CENTER,1
20,STUDENT,,75
20,VISITOR,FRIENDS,1
21,ALUMNI,GWSB,1
21,ALUMNI,SEAS,1
21,STAFF,,1
21,STUDENT,LAW SCHOOL,1
21,STUDENT,,91
22,ALUMNI,CCAS,1
22,ALUMNI,GWSB,1
22,STAFF,,5
22,STUDENT,LAW SCHOOL,2
22,STUDENT,MED CENTER,1
22,STUDENT,,65
22,VISITOR,FRIENDS,2
23,STAFF,,1
23,STUDENT,LAW SCHOOL,1
23,STUDENT,,40
