created_at,twitter_id,screen_name,followers_count,friends_count,favorite_count/like_count,retweet_count,hashtags,mentions,in_reply_to_screen_name,twitter_url,text,is_retweet,is_quote,coordinates,url1,url1_expanded,url2,url2_expanded,media_url
2016-09-26 17:52:09+00:00,780464994479542272,tlajj5,21,18,0,0,"TrumpTrain, MAGA",realDonaldTrump,,http://twitter.com/tlajj5/status/780464994479542272,RT @realDonaldTrump: New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW.  #TrumpTrain #MAGA…,Yes,No,,https://t.co/3KWOl2ibaW,http://www.DonaldJTrump.com,,,
2016-09-26 17:55:09+00:00,780465749794123777,Kosky98,87,82,0,0,Debates2016,HebertEtHalfred,,http://twitter.com/Kosky98/status/780465749794123777,RT @HebertEtHalfred: Quoi ? #Debates2016 ou quoi ?? https://t.co/NUYvbc0kYc,Yes,No,,,,,,http://pbs.twimg.com/media/CtTFQ2rWcAAKLb7.jpg
2016-09-26 17:56:34+00:00,780466104720236545,DeplorableTink,84,66,0,0,"sundaythoughts, ImWithHer, Debates2016, CrookedHillary",taydark_77,,http://twitter.com/DeplorableTink/status/780466104720236545,RT @taydark_77: #sundaythoughts We all know who the real deplorable's are. Every #ImWithHer crew. #Debates2016 #CrookedHillary https://t.co…,Yes,No,,,,,,
2016-09-26 18:03:19+00:00,780467803266682880,EmiliaSaez10,10,734,0,0,"HILLARYPRESIDENT, HillaryClinton, presidentialelection, PresidentialDebate, debatenight","VigilanteArtist, HillaryClinton",,http://twitter.com/EmiliaSaez10/status/780467803266682880,RT @VigilanteArtist: RT #HILLARYPRESIDENT @HillaryClinton   #HillaryClinton #presidentialelection #PresidentialDebate #debatenight #Debates…,Yes,No,,,,,,
2016-09-26 18:04:10+00:00,780468017276784640,chilepeppermama,975,977,0,0,debatenight,thehill,,http://twitter.com/chilepeppermama/status/780468017276784640,RT @thehill: Bloomberg to fact-check Clinton-Trump debate live: https://t.co/wlCugYe7x6 #debatenight https://t.co/UrtUkAW1Gs,Yes,No,,https://t.co/wlCugYe7x6,http://hill.cm/OaB1QSz,,,http://pbs.twimg.com/media/CtSnPHXWAAEWnVH.jpg
2016-09-26 18:08:14+00:00,780469039856398336,keenlykenzie,4,10,0,0,,HillaryClinton,,http://twitter.com/keenlykenzie/status/780469039856398336,RT @HillaryClinton: These headlines on Trump's lies are from just one week of his campaign.  Imagine four years of his presidency. https://…,Yes,No,,,,,,
2016-09-26 18:11:12+00:00,780469786631344128,grwaskom2826,546,1030,0,0,debates,"trumper4life, realDonaldTrump",,http://twitter.com/grwaskom2826/status/780469786631344128,RT @trumper4life: Retweet if you understand that @realDonaldTrump is fighting corrupt Wall St. Funded Uniparty!  #debates https://t.co/G30h…,Yes,No,,,,,,
2016-09-26 18:17:37+00:00,780471404563091457,ForConstitution,21,32,0,0,,HillaryClinton,HillaryClinton,http://twitter.com/ForConstitution/status/780471404563091457,@HillaryClinton see you at the debates! https://t.co/9jYm9qmoQ4,No,Yes,,https://t.co/9jYm9qmoQ4,https://twitter.com/realdonaldtrump/status/780377077518364673,,,
2016-09-26 18:18:00+00:00,780471500709040128,marty10707,2530,1742,0,0,,HillaryClinton,,http://twitter.com/marty10707/status/780471500709040128,RT @HillaryClinton: These headlines on Trump's lies are from just one week of his campaign.  Imagine four years of his presidency. https://…,Yes,No,,,,,,
2016-09-26 18:18:54+00:00,780471725804785665,mrshellwinger,132,327,0,0,,realDonaldTrump,realDonaldTrump,http://twitter.com/mrshellwinger/status/780471725804785665,@realDonaldTrump Read THIS-from someone who knows Trump very well: https://t.co/JNQvJIEEic,No,No,,https://t.co/JNQvJIEEic,https://www.bloomberg.com/view/articles/2016-09-26/how-trump-rides-on-waves-of-other-people-s-money,,,
2016-09-26 18:22:43+00:00,780472685797060608,Mo_An2016,1413,1063,0,0,,6bird4,,http://twitter.com/Mo_An2016/status/780472685797060608,RT @6bird4: One of the best Pepe's ever https://t.co/Bwa6Y6JTrK,Yes,Yes,,https://t.co/Bwa6Y6JTrK,https://twitter.com/angelojohngage/status/780471356932497408,,,
2016-09-26 18:23:30+00:00,780472884955324416,ArleySpillane,115,126,0,0,,DiamondandSilk,,http://twitter.com/ArleySpillane/status/780472884955324416,"RT @DiamondandSilk: Hey Y'all, Join us tonight at 9:00 pm 4 our Twitter &amp; Facebook Live Debate Party, Starting at 9:00 pm EST  Be on time,…",Yes,No,,,,,,
2016-09-26 18:26:34+00:00,780473652995162112,Trudyadair1,92,179,0,0,,LindaSuhler,,http://twitter.com/Trudyadair1/status/780473652995162112,"RT @LindaSuhler: While Trump's been out speaking with The People, Hillary's been closeted with her fellow elites, rehearsing her lies. Says…",Yes,No,,,,,,
2016-09-26 18:26:51+00:00,780473724373917696,pr00012,66,131,0,0,"Debates2016, TrumpPence16","THETXEMBASSY, TheDemocrats, HillaryClinton",,http://twitter.com/pr00012/status/780473724373917696,RT @THETXEMBASSY: Great Moments in @TheDemocrats History  #Debates2016  https://t.co/JGZ4TwzCTs #TrumpPence16  @HillaryClinton 👵 Hag 🆚 @rea…,Yes,No,,https://t.co/JGZ4TwzCTs,https://youtu.be/cn4Z2r8I2Pw,,,
2016-09-26 18:29:24+00:00,780474367864102913,ROCKONDUDE2,4123,4824,0,0,"debatenight, Debates2016",SandraTXAS,,http://twitter.com/ROCKONDUDE2/status/780474367864102913,RT @SandraTXAS: Leaked FBI Data Reveal 7700 Terrorist Encounters in USA in 1 Year https://t.co/16cvjtdUGO #debatenight #Debates2016 #debate…,Yes,No,,https://t.co/16cvjtdUGO,http://bit.ly/2dlFINs,,,
2016-09-26 18:34:32+00:00,780475658245812224,ExpatInc,1378,2679,0,0,"best, android, stock, app, mondaymotivation, debatenight",,,http://twitter.com/ExpatInc/status/780475658245812224,"$CCL predictons on #best #android #stock #app: https://t.co/QpareN4Svp , https://t.co/QcxLcWhUSL #mondaymotivation #debatenight",No,No,,https://t.co/QpareN4Svp,https://goo.gl/nq2pwV,https://t.co/QcxLcWhUSL,https://www.youtube.com/watch?v=LLC6IF_3gQo,
2016-09-26 18:39:29+00:00,780476904210071552,realbigstriper,2790,4081,0,0,debatenight,TEN_GOP,,http://twitter.com/realbigstriper/status/780476904210071552,RT @TEN_GOP: US sailor gets 1 year of prison for being reckless w/ 6 photos of sub  Hillary gets away w/ 15k emails..  #debatenight #Debate…,Yes,No,,,,,,
2016-09-26 18:42:09+00:00,780477575214800897,Madgenu11,86,7,0,0,"Debates, DonaldTrump",coton_luver,,http://twitter.com/Madgenu11/status/780477575214800897,RT @coton_luver: #Debates I have questions about #DonaldTrump 's cozy relationship with Russia. Don't u? https://t.co/xOzAdb0mfJ,Yes,No,,https://t.co/xOzAdb0mfJ,https://amp.twimg.com/v/52d1e95b-ca45-465b-b481-f961b65ab475,,,
2016-09-26 18:51:25+00:00,780479908128620544,kvg1988,1569,2006,0,0,"RiggedSystem, NeverHillary, Debate, VoteTrump",LindaSuhler,,http://twitter.com/kvg1988/status/780479908128620544,RT @LindaSuhler: YUP. #RiggedSystem #NeverHillary Voters See #Debate Moderators Giving Clinton A Helping Hand  #VoteTrump https://t.co/ALIg…,Yes,No,,,,,,
2016-09-26 18:58:20+00:00,780481648735518720,elidaalonso53,3026,2936,0,0,,cowboytexas,,http://twitter.com/elidaalonso53/status/780481648735518720,"RT @cowboytexas: https://t.co/R9fWi52kEV Behold the GOPs not-so-secret plan to dismantle government services: Defund, degrade and then priv…",Yes,No,,https://t.co/R9fWi52kEV,http://bit.ly/2dwrKvx,,,
2016-09-26 19:00:37+00:00,780482225003433984,publius_reagan,3186,3544,0,0,"PrayerWarriors, PrayerTeam, Christians, Pray4Trump, DebateNight, Debate, MEGA, TrumpTrain","PJStrikeForce, realDonaldTrump",,http://twitter.com/publius_reagan/status/780482225003433984,RT @PJStrikeForce: 🙏🏻 #PrayerWarriors #PrayerTeam #Christians  #Pray4Trump #DebateNight  #Debate .@realDonaldTrump  #MEGA #TrumpTrain https…,Yes,No,,,,,,
2016-09-26 19:01:26+00:00,780482430620663808,LVNancy,13761,4041,0,0,"StopIslam, DebateNight",SamPeiffer,,http://twitter.com/LVNancy/status/780482430620663808,RT @SamPeiffer: Islamic State sex slaves auctioned off in UK/US ally Saudi Arabia   https://t.co/VDmW4olURC #StopIslam #DebateNight https:/…,Yes,No,,https://t.co/VDmW4olURC,https://www.jihadwatch.org/2016/09/islamic-state-sex-slaves-auctioned-off-in-ukus-ally-saudi-arabia,,,
2016-09-26 19:01:39+00:00,780482486031814656,jrochaga,7447,1482,0,0,Debate,"HillaryClinton, realDonaldTrump, jrochaga",,http://twitter.com/jrochaga/status/780482486031814656,Hoy desde las 22 vamos a analizar el #Debate entre @HillaryClinton y @realDonaldTrump  Los espero en tw @jrochaga https://t.co/oX6QZ6DxAl,No,No,,,,,,http://pbs.twimg.com/media/CtTT_59XEAI_ms5.jpg
2016-09-26 19:07:47+00:00,780484028004577280,carigastwirth,470,385,0,0,,WonderWoman934,,http://twitter.com/carigastwirth/status/780484028004577280,"RT @WonderWoman934: Vote for Hillary. She is the real deal. To make America better than ever, vote blue up and down the ticket. https://t.c…",Yes,Yes,,,,,,
2016-09-26 19:12:09+00:00,780485126358728704,guerllaradio,546,164,0,0,debate,,,http://twitter.com/guerllaradio/status/780485126358728704,#debate https://t.co/6Hi19vBY7v,No,No,,,,,,http://pbs.twimg.com/media/CtTXE1sXgAEkO4k.jpg
2016-09-26 19:14:43+00:00,780485772826832896,PredictIt,12291,233,0,0,"Debates2016, DebateNight","HillaryClinton, realDonaldTrump",,http://twitter.com/PredictIt/status/780485772826832896,"Ahead of #Debates2016, @HillaryClinton falls 3¢ and @realDonaldTrump rises 4¢. What will happen on #DebateNight?… https://t.co/ubBY5BaSdv",No,No,,https://t.co/ubBY5BaSdv,https://twitter.com/i/web/status/780485772826832896,,,
2016-09-26 19:21:29+00:00,780487476272136192,paul_ee,1107,1007,0,0,debates,twitter,,http://twitter.com/paul_ee/status/780487476272136192,RT @twitter: Tonight: the first of the US presidential #debates will be streaming LIVE on Twitter. Tap ⬇️ to watch at 8:30pm ET. https://t.…,Yes,No,,,,,,
2016-09-26 19:22:36+00:00,780487755700834304,SoniaKatiMota,1902,1368,0,0,,1BLKMOUNTAIN,,http://twitter.com/SoniaKatiMota/status/780487755700834304,RT @1BLKMOUNTAIN: What the brilliant Sonia said https://t.co/7ze34AGSgn,Yes,Yes,,https://t.co/7ze34AGSgn,https://twitter.com/soniakatimota/status/780487028958003200,,,
